hour,metric,date,value
22 - 23,EUR/MWh,"Sat,_06/07",123.32
22 - 23,EUR/MWh,"Sun,_06/08",124.71
22 - 23,EUR/MWh,"Mon,_06/09",124.85
22 - 23,EUR/MWh,"Tue,_06/10",102.18
22 - 23,EUR/MWh,"Wed,_06/11",123.18
22 - 23,EUR/MWh,"Thu,_06/12",127.74
MWh,2542,"Fri,_06/06",2139.3
MWh,2542,"Sat,_06/07",2322.1
MWh,2542,"Sun,_06/08",2312.8
MWh,2542,"Mon,_06/09",2470.3
MWh,2542,"Tue,_06/10",2612.1
MWh,2542,"Wed,_06/11",2679.5
23 - 24,EUR/MWh,"Fri,_06/06",109.17
23 - 24,EUR/MWh,"Sat,_06/07",118.45
23 - 24,EUR/MWh,"Sun,_06/08",100.94
23 - 24,EUR/MWh,"Mon,_06/09",106.28
23 - 24,EUR/MWh,"Tue,_06/10",97.75
23 - 24,EUR/MWh,"Wed,_06/11",103.67
23 - 24,EUR/MWh,"Thu,_06/12",107.26
MWh,2520.4,"Fri,_06/06",2235.2
MWh,2520.4,"Sat,_06/07",2985.5
MWh,2520.4,"Sun,_06/08",2217.3
MWh,2520.4,"Mon,_06/09",2413.2
MWh,2520.4,"Tue,_06/10",3198.5
MWh,2520.4,"Wed,_06/11",3003
